"month","year","winery","wine_name","style","vintage","wine_type","primary_varietal_blend","varietal_list","rating","region","sub_region","sub_sub_region","estimated_price","natural?","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Old Ghost Old Vine Zinfandel","red","2015","","zinfandel","zinfandel","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Brickmason","red","2016","","zinfandel","zinfandel, syrah, cabernet sauvignon, petite sirah","3.5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"august","2019","Domaine de Beausejour","Chinon","red","2016","","cabernet franc","cabernet franc","3.5","france","chinon","","","","","","","","","","","","","","","","","","","",""
"august","2019","Stag's Leap Wine Cellars","FAY estate","red","2016","","cabernet sauvignon","cabernet sauvignon","3.5","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Stag's Leap Wine Cellars","SLV estate","red","2016","","cabernet sauvignon","cabernet sauvignon","3.5","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Estate SVS","red","2016","","cabernet sauvignon","cabernet sauvignon","3.5","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Medlock Ames","Cabernet Sauvignon","red","2015","","cabernet sauvignon","cabernet sauvignon","3.5","california","sonoma","alexander valley","","","","","","","","","","","","","","","","","","",""
"august","2019","ACORN","Alegria vineyard","red","2015","","cabernet sauvignon","cabernet sauvignon","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"august","2019","Orogeny","Chardonnay","white","2016","","chardonnay","chardonnay","3.5","california","russain river","","","","","","","","","","","","","","","","","","","",""
"august","2019","Domaine's Jerome","Choblet Loire Valley","white","2013","","chardonnay","chardonnay","3.5","france","loire valley","","","","","","","","","","","","","","","","","","","",""
"august","2019","Frog's Leap","Chardonnay","white","2017","","chardonnay","chardonnay","3.5","california","napa","carneros","","","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Chardonnay estate","white","2017","","chardonnay","chardonnay","3.5","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Bergstrom Wines","Sigrid","white","2016","","chardonnay","chardonnay","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"august","2019","Colene Clemens","Estate chardonnay","white","2017","","chardonnay","chardonnay","3.5","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"august","2019","Barton & Guestier","Vouvray","white","2016","","chenin blanc","chenin blanc","3.5","france","vouvray","","","","","","","","","","","","","","","","","","","",""
"august","2019","Medlock Ames","Rose of merlot","rose","2018","","merlot","merlot","3.5","california","sonoma","alexander valley","","","","","","","","","","","","","","","","","","",""
"august","2019","Medlock Ames","Snakepit red blend","red","2015","","merlot","merlot, cabernet sauvignon","3.5","california","sonoma","alexander valley","","","","","","","","","","","","","","","","","","",""
"august","2019","Coria","Willamette Pinot","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"august","2019","Hahn","SLH Pinot Noir","red","2017","","pinot noir","pinot noir","3.5","california","santa lucia highlands","","","","","","","","","","","","","","","","","","","",""
"august","2019","Francis Ford Coppola","Monterrey County Pinot Noir","red","2016","","pinot noir","pinot noir","3.5","california","monterrey county","","","","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Gran val vineyard estate","red","2016","not in database","pinot noir","pinot noir","3.5","california","napa","carneros","","","","","","","","","","","","","","","","","","",""
"august","2019","Soter Vineyards","Mineral Springs Ranch","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"august","2019","Bergstrom Wines","Silice","red","2017","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"august","2019","Bergstrom Wines","Le Pre du Col","red","2017","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"august","2019","Colene Clemens","Rose of pinot noir","rose","2018","not in database","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"august","2019","Colene Clemens","Victoria","red","2013","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"august","2019","Frog's Leap","Estate sauvignon blanc","white","2018","","sauvignon blanc","sauvignon blanc","3.5","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Bergstrom Wines","Gargantua blend","red","2016","","syrah","syrah","3.5","california","","","","","","","","","","","","","","","","","","","","",""
"august","2019","Pisano","RPF Tannat Uruguay","red","2015","","tannat","tannat","3.5","uruguay","","","","","","","","","","","","","","","","","","","","",""
"august","2019","ACORN","Heritage Vines","red","2015","","zinfandel","zinfandel","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"august","2019","Luigi Giusti","Lacrima di Morro d'Alba","","2015","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"august","2019","MUMM Napa","Blanc de blanc","sparkling","2011","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"august","2019","MUMM Napa","Cuvee M","sparkling","nv","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"august","2019","ACORN","Rosato","rose","","","","","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"august","2019","ACORN","Medley blend","red","2015","","","63 grapes","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Structure Cellars","Piloti","red","2017","","cabernet franc","cabernet franc","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Structure Cellars","Craftsman","red","2017","","cabernet sauvignon","cabernet sauvignon","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Charles Heintz Chardonnay","white","2017","","chardonnay","chardonnay","3.5","california","sonoma","green valley","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Wildcat Mountain Chardonnay","white","2016","","chardonnay","chardonnay","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Landmark Vineyards","Hillard Bruce","white","2016","","chardonnay","chardonnay","3.5","california","","santa rita hills","","","","","","","","","","","","","","","","","","",""
"july","2019","Landmark Vineyards","Rodgers Creek","white","2015","","chardonnay","chardonnay","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Landmark Vineyards","Lorenzo","white","2015","","chardonnay","chardonnay","3.5","california","sonoma","russain river","","","","","","","","","","","","","","","","","","",""
"july","2019","Dutton Goldfield","Chardonnay","white","2017","","chardonnay","chardonnay","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Hartford","Chardonnay","white","2018","","chardonnay","chardonnay","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Dutton Goldfield","Gewurztraminer","white","2017","","gewurztraminer","gewurztraminer","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Latta Wines","Kind Stranger GSC","rose","2018","","grenache","grenache, syrah, cinsault","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Latta Wines","Latta Latta GSM","red","2015","","grenache","grenache, syrah, mourvedre","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Rotie Cellars","Grenache blanc washington state","white","2018","","grenache blanc","grenache blanc","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Rotie Cellars","Northern white blend","white","2018","","marsanne","marsanne, roussanne","3.5","washington","walla walla","","","","","","","","","","","","","","","","","","","",""
"july","2019","Structure Cellars","Foundational","red","2017","","mourvedre","mourvedre","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Latta Wines","Upland Vineyard","red","2015","","mourvedre","mourvedre","3.5","washington","","","","","","","","","","","","","","","","","","","","",""
"july","2019","Vincent Arroyo Winery","Petite Sirah","red","2008","","petite sirah","petite sirah","3.5","california","napa valley","","","","","","","","","","","","","","","","","","","",""
"july","2019","Royal Prince","Pinot Noir Santa barbara","red","2014","","pinot noir","pinot noir","3.5","california","santa barbara county","santa maria valley","","","","","","","","","","","","","","","","","","",""
"july","2019","Red Car","Pinot Rose","rose","","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Red Car","Pinot Noir","red","","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Paul Mathew","Ruxton Vineyard Pinot","red","2011","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Pellegrini","pinot noir","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Pellegrini","rose of pinot and grenache","rose","2018","","pinot noir","pinot noir, grenache","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Rose of pinot noir","rose","2018","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","russain river","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Vineyard blend pinot noir","red","2015","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","russain river","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Thales Vineyard","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","healdsberg","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Champlin Creek pinot noir","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","carneros","","","","","","","","","","","","","","","","","","",""
"july","2019","Gracianna Winery","Reserve","red","2017","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Gracianna Winery","Baciglupi","red","2014","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Gracianna Winery","Baciglupi","red","2015","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Landmark Vineyards","La Encantada","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","santa rita hills","","","","","","","","","","","","","","","","","","",""
"july","2019","Landmark Vineyards","Santa Lucia Highlands","red","2016","","pinot noir","pinot noir","3.5","california","","santa lucia highlands","","","","","","","","","","","","","","","","","","",""
"july","2019","Landmark Vineyards","Estate Hop Kiln","red","2017","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Martin Ray","Dark Star Hill","red","2013","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Martin Ray","Clone 37","red","2017","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Halleck Vineyard","Pinot Noir","red","2012","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Halleck Vineyard","Hillside pinot","red","2015","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Dutton Goldfield","Pinot Noir","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Hartford","Hailey's block pinot","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Hartford","Alexander valley pinot","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","alexander valley","","","","","","","","","","","","","","","","","","",""
"july","2019","Marimar Estate","Don Miguel Earthquake","red","2014","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","sonoma coast","","","","","","","","","","","","","","","","","","",""
"july","2019","Macrostie","Sauvignon Blanc Clockwise","white","2018","","sauvignon blanc","sauvignon blanc","3.5","california","sonoma","russain river","","","","","","","","","","","","","","","","","","",""
"july","2019","Dutton Estate","Syrah","red","2014","","syrah","syrah","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"july","2019","Martorana Family Winery","Zinfandel estate","red","2015","","zinfandel","zinfandel","3.5","california","sonoma county","dry creek valley","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","Red blend","red","","","cabernet sauvignon","cabernet sauvignon, merlot, syrah, malbec, petite verdot","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Vidovich","Lake vineyard cabernet","red","2013","","cabernet sauvignon","cabernet sauvignon","3.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Ridge Vineyards","Cabernet Klein, monte bello vineyards","red","2016","","cabernet sauvignon","cabernet sauvignon","3.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","Blanc de Blanc","white","nv","","chardonnay","chardonnay","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Schug","Carneros Chardonnay","white","2017","","chardonnay","chardonnay","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Thomas Fogarty","Chardonnay estate grown vineyard blend","white","2014","","chardonnay","chardonnay","3.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Thomas Fogarty","Langley hill chardonnay","white","2015","","chardonnay","chardonnay","3.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","French Colombard","white","2017","","colombard","colombard","3.5","california","sonoma","russain river valley","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","River Trace","red","2016","","gsm","gsm","3.5","california","sonoma","chalk hill","","","","","","","","","","","","","","","","","","",""
"june","2019","Duckhorn","Decoy merlot","red","2016","","merlot","merlot","3.5","","","","","","","","","","","","","","","","","","","","","",""
"june","2019","Schafer","Spatburgunder","red","2016","","pinot noir","pinot noir","3.5","germany","","","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","Cornerstone","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","Russain River","red","2016","sonoma pinot noir","pinot noir","pinot noir","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Thomas Fogarty","Razorback vineyard pinot","red","2016","central coast pinot noir","pinot noir","pinot noir","3.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Thomas Fogarty","Will's cabin pinot","red","2014","central coast pinot noir","pinot noir","pinot noir","3.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"june","2019","Schug","Schug Sauvignon Blanc","white","2018","","sauvignon blanc","sauvignon blanc","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Meadowcroft","Port","red","","","zinfandel","zinfandel, jiminez, touriga nacionale, syrah","3.5","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"june","2019","Ridge Vineyards","Lytton springs red blend","red","2011","","zinfandel","zinfandel, petite sirah, carignan","3.5","california","sonoma","dry creek","","","","","","","","","","","","","","","","","","",""
"june","2019","West + Wilder","White blend","white","","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"june","2019","The Pinot Project","Red blend","red","","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"june","2019","Infinite Monkey Theorem","Red blend","red","","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Rhone Cicada Domaine Chante Cigale","red","2017","","chateauneuf du pape","chateauneuf du pape","3.5","france","chateauneuf du pape","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Castello di Bossi","red","2013","","sangiovese","sangiovese","3.5","italy","chianti","","","","","","","","","","","","","","","","","","","",""
"may","2019","Gilbert Cellars","Left Blank","red","2015","","bordeaux","cabernet sauvignon, merlot, petite verdot","3.5","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Gilbert Cellars","Carmenere","red","2017","","carmenere","carmenere","3.5","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Owen Roe","DuBrul Vineyard","white","2018","","chardonnay","chardonnay","3.5","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Gilbert Cellars","Doc Stewart","white","2014","","chardonnay","chardonnay","3.5","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Undaunted","Undaunted Malbec","red","2017","","malbec","malbec","3.5","washington","columbia valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Red Hawk Vineyard","Redhawk Red","red","2017","","merlot","merlot, petite verdot, carmenere","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Owen Roe","La Famille Des Marais","red","2015","","merlot","merlot, cabernet sauvignon","3.5","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"may","2019","Red Hawk Vineyard","Pinot Gris","white","2018","","pinot gris","pinot gris","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Bethel Heights","Pinot Gris","white","2017","","pinot gris","pinot gris","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Cloudveil","Cloudveil Oregon","red","2017","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","dundee hills","","","","","","","","","","","","","","","","","","",""
"may","2019","Red Hawk Vineyard","Grateful Red","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Red Hawk Vineyard","Pataccoli Family Vineyard","red","2017","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Bethel Heights","Justice Vineyards","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Bethel Heights","West Block","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Ken Wright","Canary Hill","red","2014","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Ken Wright","Latchkey","red","2015","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"may","2019","Owen Roe","Union Gap Vineyard","red","2015","","syrah","syrah","3.5","washington","yakima valley","","","","","","","","","","","","","","","","","","","",""
"september","2019","Failla","Gruner Veltliner","white","2017","","gruner veltliner","gruner veltliner","3.5","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"september","2019","Domaine Roy & Fils","Petite Incline","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Duck Pond","Dundee Hills Reserve Pinot","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Firesteed","Pinot Noir","red","2018","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Kundsen Vineyards","Dundee Hills Reserve Pinot","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Purple Hands","PJE Holstein Vineyard","red","2017","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","","","","","","","","","","","","","","","","","","","",""
"september","2019","Luminous Hills","Pinot Noir","red","2015","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","yamhill carlton","","","","","","","","","","","","","","","","","","",""
"september","2019","Chehalem Winery","Corral Creek Vineyard","red","2016","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"september","2019","Chehalem Winery","Ribbon Ridge Reserve","red","2015","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","ribbon ridge","","","","","","","","","","","","","","","","","","",""
"september","2019","Chehalem Winery","Ribbon Ridge Pinot","red","2015","willamette pinot noir","pinot noir","pinot noir","3.5","oregon","willamette","ribbon ridge","","","","","","","","","","","","","","","","","","",""
"","","Roche Hanneur","Chinon","red","2014","","cabernet franc","cabernet franc","3.5","france","chinon","","","","","","","","","","","","","","","","","","","",""
"","2019","Butler Pond","Butler Pond Pinot Noir","red","","","pinot noir","pinot noir","3.5","","","","","","","","","","","","","","","","","","","","","",""
"","2019","Synchromesh","Riesling BC","white","","","riesling","riesling","3.5","canada","british colombia","","","","","","","","","","","","","","","","","","","",""
"","2019","Bouzy Rouge","Bouzy Rouge Paul Bara Grand Cru Champenois","sparkling","2008","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"","2019","Guy de Forez","Rose des Riceys","sparkling","2008","","","","3.5","","","","","","","","","","","","","","","","","","","","","",""
"april","2019","Riaza Wines","Outsiders 2.0 Cuvee","red","2014","","tempranillo","tempranillo","3.4","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Riaza Wines","Diablo Rioja","red","2014","","tempranillo","tempranillo, graciano, garnacha, zinfandel","3.4","california","lodi","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Thumbprint Cellars Cab Sauv","red","2010","","cabernet sauvignon","cabernet sauvignon","3","california","russain river valley","","","","","","","","","","","","","","","","","","","",""
"april","2019","Twisted Barrel","Barbera","red","2016","","barbera","barbera","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Dancing Fox","Bordeaux Blend","red","2013","","bordeaux","cabernet sauvignon, merlot, cabernet franc","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Hurlubeta Sebastian David","red","nv","","cabernet franc","cabernet franc","3","loire valley","france","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Sorelle Red blend","red","","","cabernet sauvignon","cabernet sauvignon, sangiovese, petite sirah","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Michael David","Michael David earthquake cab","red","2016","","cabernet sauvignon","cabernet sauvignon","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Michael David","Michael David freak show cab","red","2016","","cabernet sauvignon","cabernet sauvignon","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Twisted Barrel","Cabernet Sauvignon","red","2013","","cabernet sauvignon","cabernet sauvignon","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Dancing Fox","Cabernet Sauvignon","red","2015","","cabernet sauvignon","cabernet sauvignon","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","LangeTwins Winery","Reserve Cabernet","red","2014","","cabernet sauvignon","cabernet sauvignon","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Cabernet Sauvignon","red","2015","","cabernet sauvignon","cabernet sauvignon","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove carignan","red","2015","","carignane","carignane","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove Chardonnay unoaked","white","2016","","chardonnay","chardonnay","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","LangeTwins Winery","Estate Chardonnay","white","2017","","chardonnay","chardonnay","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Michael David","Michael David cinsault ancient vines","red","2017","","cinsault","cinsault","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Dolchetto","red","2015","","dolchetto","dolchetto","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Riaza Wines","Esoteric","red","2015","","garnacha","garnacha","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Cosse et Maisonneuve","Solis Malbec","red","2016","","malbec","malbec","3","southwest france","cahors","","","","","","","","","","","","","","","","","","","",""
"april","2019","Charles Smith","The Velvet Devil","red","","","merlot","merlot, cabernet sauvignon, malbec","3","washington","","","","","","","","","","","","","","","","","","","","",""
"april","2019","Riaza Wines","Prospector","red","2015","","monastrell","monastrell","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Twisted Barrel","Mourvedre","red","2016","","mourvedre","mourvedre","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","LangeTwins Winery","Red Trail","red","2015","","nero d'avola","nero d'avola","3","california","lod","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Tete Rouge Free Mousse","sparkling","nv","","pet nat","cabernet franc","3","loire valley","france","","","yes","","","","","","","","","","","","","","","","",""
"april","2019","","Sorelle pinot grigio","white","","","pinot grigio","pinot grigio","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Twisted Barrel","Sangiovese","red","2016","","sangiovese","sangiovese","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Dancing Fox","Sangiovese","red","2016","","sangiovese","sangiovese","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Jen Pfeiffer Rock It Like a Redhead","red","2017","","syrah","syrah","3","australia","victoria","","","","","","","","","","","","","","","","","","","",""
"april","2019","Twisted Barrel","Syrah","red","2016","","syrah","syrah","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Farrah","red","2015","","syrah","syrah","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove Royal Tee zinfandel","red","2011","","zinfandel","zinfandel","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Twisted Barrel","Zinfandel","red","2015","","zinfandel","zinfandel","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Marisa Vineyard Old Vine","red","2015","","zinfandel","zinfandel","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Klinker Brick","Old Vine Blend","red","2015","","zinfandel","zinfandel","3","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Mazzocco","Mazzocco Dry Creek","red","2016","","zinfandel","zinfandel","3","california","sonoma","dry creek","","","","","","","","","","","","","","","","","","",""
"april","2019","","Miolo Dry Sparkling","sparkling","nv","","","","3","brazil","","","","","","","","","","","","","","","","","","","","",""
"august","2019","Frog's Leap","Estate grown cabernet sauvignon","red","2016","","cabernet sauvignon","cabernet sauvignon","3","california","napa","rutherford","","","","","","","","","","","","","","","","","","",""
"august","2019","Medlock Ames","Estate red blend","red","2016","","cabernet sauvignon","cabernet sauvignon, merlot","3","california","sonoma","alexander valley","","","","","","","","","","","","","","","","","","",""
"august","2019","Alexander Valley Vineyards","Cabernet Sauvignon reserve","red","2015","","cabernet sauvignon","cabernet sauvignon","3","california","sonoma","alexander valley","","","","","","","","","","","","","","","","","","",""
"august","2019","Frog's Leap","Carignan Old Vine vildige","rose","","","carignan","carignan, valdige","3","california","mendocino","","","","","","","","","","","","","","","","","","","",""
"august","2019","Dryer","Sonoma Chardonnay","white","2016","","chardonnay","chardonnay","3","california","sonoma","","","","","","","","","","","","","","","","","","","",""
"august","2019","Stag's Leap Wine Cellars","Karia","white","2017","","chardonnay","chardonnay","3","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Poppy","chardonnay","white","2016","","chardonnay","chardonnay","3","california","","santa lucia highlands","","","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Hirondelle vineyard","red","2015","","merlot","merlot","3","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
